"model","coverage_days","capacity_bytes","capacity_tb","replacement_cost_usd","p_fail_within_coverage","expected_loss_usd"
"ST12000NM0008",545,12000138625024,12.000138625024,300.0034656256,0.0167571300650353,5.02719709344953
"ST12000NM001G",545,12000138625024,12.000138625024,300.0034656256,0.00957816743125961,2.87348342372013
"ST14000NM001G",545,14000519643136,14.000519643136,350.0129910784,0.0203756362962636,7.13173740518083
"ST16000NM001G",545,16000900661248,16.000900661248,400.0225165312,0.012376986955455,4.95107346899493
"ST4000DM000",545,4000787030016,4.000787030016,100.0196757504,0.0085700091159514,0.857169532955432
"ST8000DM002",545,8001563222016,8.001563222016,200.0390805504,0.00704478393895647,1.40923210182508
"ST8000NM0055",545,8001563222016,8.001563222016,200.0390805504,0.00917321697740525,1.83500188984947
"TOSHIBA MG07ACA14TA",545,14000519643136,14.000519643136,350.0129910784,0.0115584642570175,4.04561264687146
"TOSHIBA MG08ACA16TE",545,16000900661248,16.000900661248,400.0225165312,0.0326890911515323,13.0763725055537
"WDC WUH721414ALE6L4",545,14000519643136,14.000519643136,350.0129910784,0.00435622439547223,1.52473513046793
"HGST HMS5C4040ALE640",730,4000787030016,4.000787030016,100.0196757504,0.0054711267880454,0.547220327329628
"HGST HMS5C4040BLE640",730,4000787030016,4.000787030016,100.0196757504,0.00215414341950304,0.215456726338552
"HGST HUH721212ALE604",730,12000138625024,12.000138625024,300.0034656256,0.0105602846610212,3.16812199629923
"HGST HUH721212ALN604",730,12000138625024,12.000138625024,300.0034656256,0.00660372466882608,1.98114028668509
"ST12000NM0007",730,12000138625024,12.000138625024,300.0034656256,0.0283971730115021,8.5192503174204
"ST12000NM0008",730,12000138625024,12.000138625024,300.0034656256,0.0236631212532762,7.09901838350165
"ST12000NM001G",730,12000138625024,12.000138625024,300.0034656256,0.0135459719362729,4.063838526149
"ST14000NM001G",730,14000519643136,14.000519643136,350.0129910784,0.0287509474462122,10.0632051119866
"ST16000NM001G",730,16000900661248,16.000900661248,400.0225165312,0.0174939353336061,6.99796803618319
"ST4000DM000",730,4000787030016,4.000787030016,100.0196757504,0.0121227413105405,1.21251265508624
"ST8000DM002",730,8001563222016,8.001563222016,200.0390805504,0.00996841291439943,1.99407215394319
"ST8000NM0055",730,8001563222016,8.001563222016,200.0390805504,0.0129743705195245,2.59538114944591
"TOSHIBA MG07ACA14TA",730,14000519643136,14.000519643136,350.0129910784,0.0163398244279077,5.71915082170788
"TOSHIBA MG08ACA16TE",730,16000900661248,16.000900661248,400.0225165312,0.0460055898634969,18.4032718316983
"WDC WUH721414ALE6L4",730,14000519643136,14.000519643136,350.0129910784,0.00616755341328801,2.15872381782073
